0.92	0.1	1.34	5.4	2.2
0.72	0.1	3	6.4	3.2
1	0.24	1.2	5	2.5
0.4	0.1	1.5	5.4	2.2
0.22	0.1	1	26	1
0.52	0.1	1	3.8	1.4
0.24	0.1	1	6	1.7
0.52	0.1	1	3.1	1.5
0.9	0.2	7.3	4.3	1.9
0.66	0.1	1	40.8	3.5
0.28	0.1	1.75	4.1	1.1
0.28	0.1	1	6.3	2.2
0.37	0.1	3.23	2.2	1.2
0.88	0.37	4.93	5	1.7
0.33	0.1	3.04	2.6	1.1
0.58	0.59	5.47	8.6	1.3
0.46	0.29	1.2	10.5	1.7
0.3	0.1	1	4.6	2
0.49	0.1	4.75	5.6	2.2
0.4	0.1	1	6.5	2.6
0.38	0.1	1.14	38	6.9
0.69	0.1	1.5	12.7	5.6
0.51	0.1	1	3.8	2
0.56	0.1	1.62	7.1	2.4
0.66	0.16	12	14	4.1
1.5	0.1	3.7	46.9	8.1
0.4	0.1	1	8	4.2
0.4	0.1	1	5.8	2.1
0.1	0.1	1	11.2	1
0.17	0.1	1	47	8.5
0.1	0.1	1	1	1
0.8	0.1	1.9	13.2	4.6
0.27	0.1	1	13	1.7
0.56	0.14	4.85	7.8	2.6
0.44	0.1	19	2.1	2.7
0.4	0.1	1	38	7.8
0.47	0.1	1	30	8.1
0.4	0.1	1.1	18.5	2.2
0.1	0.1	1.2	3.7	1.3
0.2	0.1	2.3	22.4	12.3
0.16	0.1	1	1.6	1
0.37	0.1	1	3.5	1.4
0.27	0.1	4.92	1.1	1
0.52	0.1	1.4	30	8
0.63	0.14	1	4.6	2
0.2	0.1	1.6	11.3	1.7
0.22	0.1	1	5.3	2.1
1.07	0.1	1	6.1	2.4
0.41	0.1	1	8	3.4
0.3	0.1	2.3	4.6	2.2
0.17	0.1	1	3.1	1
0.37	0.1	2.5	12.2	6.2
0.65	0.1	1	6.6	3.1
0.81	0.16	2.25	3	1.2
0.2	0.1	1	13.5	7.7
0.48	0.1	1.41	1.9	1
0.52	0.1	1	14.8	4.2
0.3	0.1	1.04	4.2	1.7
1.15	0.1	1.65	12	4.8
0.84	0.14	1.7	16.2	5
0.2	0.1	1.65	3.2	1
0.24	0.1	1	3.1	1
0.41	0.1	1.27	3.3	1.4
0.79	0.1	1.4	11.9	4.8
0.28	0.1	1	20	2.3
0.25	0.1	1	17	2.2
0.31	0.1	1.25	21	3.1
0.36	0.1	1	22	2.2
0.88	0.1	2.01	14.2	5.2
0.35	0.1	1.6	5	2.5
0.58	0.1	2.14	12	4.2
0.2	0.1	14.1	1.9	0.5
0.39	0.1	1.26	4	2
0.32	0.1	1	3.2	1.2
0.22	0.1	2.54	5.2	1.2
0.37	0.1	3.5	5.9	2.9
0.2	0.1	1	19.8	8.8
0.34	0.1	1	5.1	2.2
0.39	0.1	1	3.4	1.6
0.18	0.1	1	1.5	1
0.44	0.1	1	4.7	2.2
1.43	0.22	2.95	3.8	1.9
0.1	0.1	1	1	1
0.52	0.2	2.5	4.5	1.8
0.3	0.1	1	9.8	1.5
0.3	0.1	3.7	20.3	8.5
0.48	0.1	1.33	24.5	9.8
0.47	0.1	1	3.8	1.7
0.39	0.1	1	4.3	1.8
0.4	0.1	1.2	36.6	13
1.04	0.22	3.5	2.6	1.2
0.54	0.1	1.84	55	16
0.26	0.1	1	7.1	1.2
0.36	0.11	1.35	2.2	1
3.1	0.1	3	64.9	14.8
0.2	0.1	1	4.2	1.6
3.31	0.13	2.2	13.8	4.6
0.2	0.1	1	1.3	1
0.26	0.1	2.26	3.2	1.6
0.1	0.21	2.11	1	1
1.9	0.1	4.9	2.5	1.8
0.7	0.1	1.6	11.5	4.5
0.39	0.1	1	36	7.6
0.44	0.1	1	33.5	8.6
1.53	1.01	13	5.3	1.3
0.61	0.1	1.16	2.8	1.2
1.32	0.12	1.02	3.5	1.4
0.78	0.32	4.92	4.4	1.5
0.72	0.1	4.1	4.1	1.9
0.47	0.16	1.69	4.7	1.9
0.4	0.1	1.2	4.1	1.8
0.69	0.17	1.8	4	2.4
0.26	0.1	1	3.4	1.4
1.3	0.1	3.45	5.8	2.2
1.7	0.15	2.5	6.1	2.2
